lat,lng,iso2,population
39.03,125.73,KP,2863000
24.15,120.6667,TW,2803894
37.5,122.1,CN,2804771
35.4164,119.4331,CN,2801013
44.5861,129.5997,CN,2798723
22.6167,120.3,TW,2773533
-2.19,-79.8875,EC,2723665
42.2841,123.8365,CN,2717732
26.4725,80.3311,IN,2701324
35.5806,104.6263,CN,2698624
25.0478,121.5319,TW,2684567
26.6448,118.1728,CN,2690000
29.3498,104.7645,CN,2678899
23.67,116.63,CN,2656600
40.6562,109.8345,CN,2650364
26.0819,119.2981,CN,2606000
25.0881,117.0244,CN,2640000
32.6877,109.0235,CN,2629906
25.1211,99.169,CN,2627000
40.7094,120.8378,CN,2623541
-18.9386,47.5214,MG,2610000
30.1256,104.6397,CN,2593843
22.335,91.8325,BD,2581643
18.4764,-69.8933,DO,2581827
26.2658,117.6302,CN,2580000
33.535,105.349,CN,2567718
40.6501,-73.9496,US,2559903
21.8556,111.9627,CN,2555600
46.8081,130.3653,CN,2552097
7.3964,3.9167,NG,2550593
33.583,114.0109,CN,2544266
23.8864,100.0871,CN,2536000
6.2447,-75.5748,CO,2529403
30.9475,118.7518,CN,2532938
22.9242,112.0353,CN,2526900
25.2697,55.3094,AE,2502715
25.15,82.58,IN,2496970
41.3,69.2667,UZ,2497900
32.4353,105.8398,CN,2484122
3.44,-76.5197,CO,2471474
30.2018,115.0326,CN,2471700
12.3686,-1.5275,BF,2453496
35.8667,128.6,KR,2461002
-3.7275,-38.5275,BR,2452185
3.8578,11.5181,CM,2440462
4.05,9.7,CM,2446945
43.8519,126.5481,CN,2396000
40.1167,124.3833,CN,2444697
40.7523,120.828,CN,2426000
40.6653,122.2297,CN,2428534
21.1539,79.0831,IN,2405665
15.6167,32.48,SD,2395159
-6.2333,107,ID,2381053
28.6667,77.4167,IN,2375820
24.3495,102.5432,CN,2386000
-27.4678,153.0281,AU,2360241
26.2456,105.934,CN,2353100
-6.394,106.8225,ID,2330333
33.868,109.9244,CN,2341742
32.4831,117.0164,CN,2333896
41.7302,125.9471,CN,2324439
5.6037,-0.187,GH,2291352
33.6,130.4167,JP,2280000
35.4906,112.8483,CN,2279146
49.25,-123.1,CA,2264823
-6.1783,106.6319,ID,2237006
34.7736,111.195,CN,2234018
23.7333,109.2333,CN,2233900
40.7498,-73.7976,US,2230722
35.7278,107.64,CN,2211191
36.6239,101.7787,CN,2208708
31.6858,118.5101,CN,2202899
36.5952,109.4863,CN,2187009
40.3667,49.8352,AZ,2181800
30.7824,106.1281,CN,2174000
-17.8292,31.0522,ZW,2150000
23.1367,-82.3589,CU,2141652
11.5696,104.921,KH,2129371
29.875,121.5492,CN,2125500
2.0408,45.3425,SO,2120000
23.2993,116.1586,CN,2118200
3.6667,98.6667,ID,2109330
33.9562,116.789,CN,2114276
24.8141,118.5792,CN,2111000
33.9381,-117.3948,US,2107852
39.3051,-76.6144,US,2106068
20.8,106.6667,VN,2103500
36.2333,-115.2654,US,2104198
22.4167,107.3667,CN,2099400
33.6007,73.0679,PK,2098231
6.6833,-1.6167,GH,2069350
45.5372,-122.65,US,2074775
22.3,73.2,IN,2065771
24.4164,111.5478,CN,2072600
35.5412,106.6819,CN,2068033
29.4658,-98.5253,US,2049293
-31.9522,115.8589,AU,2039200
17.7333,83.3167,IN,2035922
37.45,118.4667,CN,2035338
32.15,74.1833,PK,2027001
45.6148,122.832,CN,2032356
41.8708,123.8917,CN,2024000
38.6358,-90.2451,US,2024074
12.6458,-7.9922,ML,2009109
-0.22,-78.5125,EC,2011388
53.9022,27.5618,BY,2009786
22.7206,75.8472,IN,1994397
38.4795,106.2254,CN,1993088
-5.8961,22.4167,CD,1971704
34,71.5,PK,1970042
43.0621,141.3544,JP,1961690
32.6447,51.6675,IR,1961260
10.5,-66.9333,VE,1943901
27.6333,113.85,CN,1933200
36.2,37.15,SY,1916781
32.525,-117.0333,MX,1922523
43.25,76.9,KZ,1916822
48.2083,16.3725,AT,1911191
19.18,72.9633,IN,1886941
38.5667,-121.4683,US,1898019
-15.7861,35.0058,MW,1895973
22.9833,120.1833,TW,1883831
22.2769,113.5678,CN,1891100
44.4,26.0833,RO,1883425
-25.4297,-49.2719,BR,1879355
30.1978,71.4711,PK,1871843
40.082,113.2981,CN,1873000
19.6097,-99.06,MX,1857188
45.2937,130.965,CN,1862165
34.75,72.3572,PK,1860310
41.2643,123.1772,CN,1858768
53.55,10,DE,1852478
0.05,37.65,KE,1833000
-4.2667,15.2833,CG,1827000
28.4772,-81.3369,US,1822394
42.0127,121.6486,CN,1819339
37.9278,102.6329,CN,1815059
-3.1,-60.0167,BR,1802014
23.25,77.4167,IN,1798218
37.3019,-121.8486,US,1798103
52.23,21.0111,PL,1790658
-11.6697,27.4581,CD,1786397
7.0667,125.6,PH,1776949
20.02,110.32,CN,1776141
33.5131,36.2919,SY,1754000
34.1299,118.7734,CN,1770000
50.8353,4.3314,BE,1743000
-15.4167,28.2833,ZM,1742979
25.3792,68.3683,PK,1732693
47.4983,19.0408,HU,1723836
39.3408,112.4292,CN,1714857
41.4767,-81.6804,US,1710093
41.292,123.761,CN,1709538
36.5448,104.1766,CN,1708751
40.4396,-79.9762,US,1703266
25.61,85.1414,IN,1684222
36.3667,43.1167,IQ,1694000
14.65,120.9667,PH,1661584
30.3004,-97.7522,US,1687311
30.82,108.4,CN,1680000
21.4667,109.1,CN,1680000
21.4225,39.8261,SA,1675368
50.2458,127.4886,CN,1673899
29.2942,117.2036,CN,1673200
9.538,-13.6773,GN,1667864
0.3136,32.5811,UG,1659600
39.1413,-84.5061,US,1662691
-8.0539,-34.8808,BR,1653461
31.3867,120.9766,CN,1651200
24.965,121.2168,TW,1632616
39.1239,-94.5541,US,1636715
40.7834,-73.9662,US,1628706
22.15,82.0167,IN,1625502
-6.9667,110.4167,ID,1621384
30.9083,75.8486,IN,1618879
55.0333,82.9167,RU,1602915
35.0833,117.15,CN,1603659
27.1724,78.0131,IN,1592000
35.8327,50.9915,IR,1592492
27.9991,120.6561,CN,1588700
39.7771,-86.1458,US,1588961
21.1167,-101.6833,MX,1579803
19.0333,-98.1833,MX,1576259
19.2502,73.1602,IN,1576614
9.9197,78.1194,IN,1561129
-6.1209,23.5967,CD,1559073
35.7497,114.2887,CN,1569208
29.61,52.5425,IR,1565572
22.8,86.1833,IN,1558000
39.9862,-82.985,US,1562009
38.0833,46.2833,IR,1558693
10.6333,-71.6333,VE,1551539
35.5167,139.7,JP,1539522
5.1167,7.3667,NG,1530000
-2.9833,104.7644,ID,1535952
29.1255,110.4844,CN,1537900
34.6913,135.183,JP,1513193
35.208,-80.8304,US,1512923
31.65,120.7333,CN,1510100
21.6146,110.2794,CN,1509400
24.9633,118.3811,CN,1508000
28.1958,115.7833,CN,1507402
29.9888,103.0007,CN,1507258
-1.4558,-48.5039,BR,1499641
23.4,110.0833,CN,1496904
20.9147,110.0806,CN,1494700
35.1667,126.9167,KR,1490092
48.1375,11.575,DE,1488202
20,73.7833,IN,1486053
-30.0328,-51.23,BR,1484941
10.1667,-68,VE,1484430
6.1667,6.7833,NG,1483000
24.4511,54.3969,AE,1483000
36.7335,-76.0435,US,1478868
36.351,127.385,KR,1475221
20.7167,-103.4,MX,1476491
56.8356,60.6128,RU,1468833
32.6832,112.079,CN,1468061
35.0117,135.7683,JP,1464890
46.6388,131.1545,CN,1462626
34.3422,118.0097,CN,1458038
32.05,-7.4,MA,1450021
50,36.2292,UA,1446107
31.8775,120.5512,CN,1432044
36.008,106.2782,CN,1426000
22.8167,89.55,BD,1400689
23.6139,58.5922,OM,1421409
40.8501,-73.8662,US,1418207
21.9135,110.8481,CN,1414100
30.6583,117.4849,CN,1402518
28.4353,77.3147,IN,1394000
47.9214,106.9055,MN,1396288
-16.6806,-49.2564,BR,1393575
25.7232,119.3735,CN,1390487
44.8167,20.4667,RS,1378682
36.7833,119.9556,CN,1378900
45.4669,9.19,IT,1366180
19.88,75.32,IN,1371330
28.3147,112.554,CN,1368117
43.0642,-87.9673,US,1365787
29.7132,118.3151,CN,1358980
-36.85,174.7833,NZ,1346091
-5.1331,119.4136,ID,1338663
19.45,-70.7,DO,1343423
50.0833,14.4167,CZ,1335084
22.2969,70.7984,IN,1335397
27.2578,111.7351,CN,1335900
-31.4167,-64.1833,AR,1329604
-23.4667,-46.5333,BR,1324781
30.515,47.81,IQ,1326564
35.8617,139.6453,JP,1320571
31.7386,-106.487,MX,1321004
-34.8667,-56.1667,UY,1319108
35.91,117.78,CN,1315942
30.9333,117.7667,CN,1311726
28.99,77.7,IN,1305429
44.8249,126.5451,CN,1304436
26.2312,104.0966,CN,1302891
21.654,110.6294,CN,1302100
37.8576,113.5762,CN,1300000
-34.9275,138.6,AU,1295714
41.9377,126.4179,CN,1296127
26.8808,100.2208,CN,1296000
40.8523,122.7474,CN,1293877
31.9087,120.2653,CN,1285785
33.5819,119.028,CN,1264000
37.9874,106.1919,CN,1284000
-8.7833,13.3667,AO,1279488
10.9639,-74.7964,CO,1274250
42.6979,23.3217,BG,1277411
-26.2678,27.8586,ZA,1271628
23.1667,79.9333,IN,1267564
32.3852,120.5634,CN,1267066
56.3269,44.0075,RU,1264075
32.9387,119.8404,CN,1253548
23.7928,86.435,IN,1246000
14.0833,-87.2167,HN,1250000
36.1833,117.6667,CN,1248636
25.3575,55.3919,AE,1247749
30.6667,113.1667,CN,1247400
55.7908,49.1144,RU,1243500
37.2858,127.01,KR,1234300
33.9317,116.4459,CN,1240382
51.05,-114.0667,CA,1239220
